date,use,demand (TWh)
2025-07-26,"NTS Energy Offtaken, LDZ Offtake Total",0.435104415
2025-07-26,"NTS Energy Offtaken, Powerstations Total",0.268302104
2025-07-25,"NTS Energy Offtaken, Industrial Offtake Total",0.029938135
2025-07-25,"NTS Energy Offtaken, LDZ Offtake Total",0.491168018
2025-07-25,"NTS Energy Offtaken, Powerstations Total",0.349883568
2025-07-24,"NTS Energy Offtaken, Industrial Offtake Total",0.028262524
2025-07-24,"NTS Energy Offtaken, LDZ Offtake Total",0.523035139
2025-07-24,"NTS Energy Offtaken, Powerstations Total",0.410677904
2025-07-23,"NTS Energy Offtaken, Industrial Offtake Total",0.028961712
2025-07-23,"NTS Energy Offtaken, LDZ Offtake Total",0.526777562
2025-07-23,"NTS Energy Offtaken, Powerstations Total",0.374336518
2025-07-22,"NTS Energy Offtaken, Industrial Offtake Total",0.027113461
2025-07-22,"NTS Energy Offtaken, LDZ Offtake Total",0.523123483
2025-07-22,"NTS Energy Offtaken, Powerstations Total",0.384950017
2025-07-21,"NTS Energy Offtaken, Industrial Offtake Total",0.027842065
2025-07-21,"NTS Energy Offtaken, LDZ Offtake Total",0.496254841
2025-07-21,"NTS Energy Offtaken, Powerstations Total",0.419903598
2025-07-20,"NTS Energy Offtaken, Industrial Offtake Total",0.025604737
2025-07-20,"NTS Energy Offtaken, LDZ Offtake Total",0.485911721
2025-07-20,"NTS Energy Offtaken, Powerstations Total",0.269838754
2025-07-19,"NTS Energy Offtaken, Industrial Offtake Total",0.029137086
2025-07-19,"NTS Energy Offtaken, LDZ Offtake Total",0.452081882
2025-07-19,"NTS Energy Offtaken, Powerstations Total",0.32295538
2025-07-18,"NTS Energy Offtaken, Industrial Offtake Total",0.030004696
2025-07-18,"NTS Energy Offtaken, LDZ Offtake Total",0.483653774
2025-07-18,"NTS Energy Offtaken, Powerstations Total",0.409027536
2025-07-17,"NTS Energy Offtaken, Industrial Offtake Total",0.028298302
2025-07-17,"NTS Energy Offtaken, LDZ Offtake Total",0.517122609
2025-07-17,"NTS Energy Offtaken, Powerstations Total",0.450977218
2025-07-16,"NTS Energy Offtaken, Industrial Offtake Total",0.03657102
2025-07-16,"NTS Energy Offtaken, LDZ Offtake Total",0.51578946
2025-07-16,"NTS Energy Offtaken, Powerstations Total",0.43460741
2025-07-15,"NTS Energy Offtaken, Industrial Offtake Total",0.026851837
2025-07-15,"NTS Energy Offtaken, LDZ Offtake Total",0.507312338
2025-07-15,"NTS Energy Offtaken, Powerstations Total",0.168036763
2025-07-14,"NTS Energy Offtaken, Industrial Offtake Total",0.027574413
2025-07-14,"NTS Energy Offtaken, LDZ Offtake Total",0.461384278
2025-07-14,"NTS Energy Offtaken, Powerstations Total",0.202160921
2025-07-13,"NTS Energy Offtaken, Industrial Offtake Total",0.031942401
2025-07-13,"NTS Energy Offtaken, LDZ Offtake Total",0.399181293
2025-07-13,"NTS Energy Offtaken, Powerstations Total",0.273007972
2025-07-12,"NTS Energy Offtaken, Industrial Offtake Total",0.02815535
2025-07-12,"NTS Energy Offtaken, LDZ Offtake Total",0.375863692
2025-07-12,"NTS Energy Offtaken, Powerstations Total",0.252035525
2025-07-11,"NTS Energy Offtaken, Industrial Offtake Total",0.027112812
2025-07-11,"NTS Energy Offtaken, LDZ Offtake Total",0.432388864
2025-07-11,"NTS Energy Offtaken, Powerstations Total",0.436986641
2025-07-10,"NTS Energy Offtaken, Industrial Offtake Total",0.027591077
2025-07-10,"NTS Energy Offtaken, LDZ Offtake Total",0.488336261
